name,price,energy,protein,fat,carbohydrates,salt,calcium,vegetable,img_url
ジューシー唐揚げ,352.0,402.0,25.8,25.4,16.2,1.8,32.0,33.0,https://west2-univ.jp/menu_img/png_sp/814280.png
チキンカツ柚子胡椒マヨ,264.0,406.0,16.8,27.9,19.7,1.2,25.0,33.0,https://west2-univ.jp/menu_img/png_sp/814082.png
フライドチキン,176.0,231.0,6.2,14.2,18.1,0.9,6.0,0.0,https://west2-univ.jp/menu_img/png_sp/814174.png
ハンバーグデミソース,264.0,240.0,15.5,11.9,16.3,1.6,49.0,56.0,https://west2-univ.jp/menu_img/png_sp/814146.png
ホイコーロー,264.0,286.0,13.1,18.8,16.4,2.7,61.0,183.0,https://west2-univ.jp/menu_img/png_sp/814233.png
クラムチャウダー,264.0,262.0,12.4,8.6,33.0,2.4,108.0,44.0,https://west2-univ.jp/menu_img/png_sp/814049.png
鯖生姜煮,176.0,183.0,11.7,10.8,9.0,1.0,36.0,0.0,https://west2-univ.jp/menu_img/png_sp/814298.png
ポテト野菜サラダ,110.0,98.0,1.7,5.2,11.9,0.5,17.0,53.0,https://west2-univ.jp/menu_img/png_sp/814418.png
肉じゃがコロッケ,110.0,252.0,3.4,17.8,19.0,0.9,10.0,9.0,https://west2-univ.jp/menu_img/png_sp/814407.png
鶏きも煮,88.0,67.0,8.9,1.7,4.4,0.6,6.0,0.0,https://west2-univ.jp/menu_img/png_sp/814524.png
オクラ巣ごもり玉子,88.0,91.0,6.7,5.5,3.6,0.6,56.0,33.0,https://west2-univ.jp/menu_img/png_sp/814447.png
そぼろきんぴらごぼう,88.0,86.0,5.7,1.9,10.9,0.5,38.0,23.0,https://west2-univ.jp/menu_img/png_sp/814544.png
ほうれん草ごまナムル,88.0,49.0,2.1,3.0,4.2,0.5,52.0,52.0,https://west2-univ.jp/menu_img/png_sp/814493.png
ほうれん草,66.0,19.0,1.9,0.6,2.5,0.0,44.0,63.0,https://west2-univ.jp/menu_img/png_sp/814434.png
南瓜サラダ,66.0,95.0,1.0,6.5,9.0,0.0,5.0,33.0,https://west2-univ.jp/menu_img/png_sp/814420.png
ひじき煮,66.0,55.0,2.0,3.0,5.5,1.0,35.0,5.0,https://west2-univ.jp/menu_img/png_sp/814451.png
納豆,44.0,65.0,5.1,3.1,4.6,0.4,28.0,0.0,https://west2-univ.jp/menu_img/png_sp/814457.png
豚汁,110.0,102.0,6.0,3.8,11.2,1.7,33.0,54.0,https://west2-univ.jp/menu_img/png_sp/814400.png
味噌汁,33.0,53.0,2.9,3.1,3.5,1.3,35.0,0.0,https://west2-univ.jp/menu_img/png_sp/814458.png
チキンとゆで野菜のサラダ,176.0,66.0,9.2,0.5,6.9,0.3,44.0,100.0,https://west2-univ.jp/menu_img/png_sp/814315.png
かき揚げうどん,297.0,456.0,8.3,9.3,84.5,4.7,31.0,30.0,https://west2-univ.jp/menu_img/png_sp/819312.png
かき揚げそば,297.0,425.0,11.6,10.1,71.9,3.6,34.0,30.0,https://west2-univ.jp/menu_img/png_sp/819313.png
かけうどん,209.0,339.0,7.7,1.0,75.0,4.6,21.0,5.0,https://west2-univ.jp/menu_img/png_sp/819328.png
かけそば,209.0,308.0,10.9,1.8,62.4,3.4,24.0,5.0,https://west2-univ.jp/menu_img/png_sp/819329.png
味噌ラーメン,385.0,493.0,21.0,8.1,85.6,6.3,79.0,45.0,https://west2-univ.jp/menu_img/png_sp/819348.png
温玉ねぎとろ丼,462.0,613.0,24.6,11.8,96.6,2.1,46.0,10.0,https://west2-univ.jp/menu_img/png_sp/819079.png
豚塩カルビ丼,407.0,604.0,15.0,17.8,92.4,1.9,36.0,40.0,https://west2-univ.jp/menu_img/png_sp/819046.png
ロースカツカレー,407.0,880.0,22.2,31.2,124.3,5.0,44.0,12.0,https://west2-univ.jp/menu_img/png_sp/819253.png
カレーライス,308.0,596.0,11.0,11.5,110.4,4.3,38.0,12.0,https://west2-univ.jp/menu_img/png_sp/819272.png
ライス,115.0,408.0,7.2,0.0,88.8,0.0,0.0,0.0,https://west2-univ.jp/menu_img/png_sp/814702.png
和栗モンブラン,220.0,197.0,2.4,11.6,21.2,0.1,23.0,0.0,https://west2-univ.jp/menu_img/png_sp/814880.png
スフレチーズケーキ,220.0,143.0,3.5,8.1,13.0,0.1,25.0,0.0,https://west2-univ.jp/menu_img/png_sp/814886.png
ベルギーワッフル,110.0,282.0,4.7,19.2,22.6,0.2,23.0,0.0,https://west2-univ.jp/menu_img/png_sp/814833.png
大学芋,88.0,156.0,0.6,3.1,31.9,0.0,13.0,0.0,https://west2-univ.jp/menu_img/png_sp/814817.png
牛乳,85.0,138.0,6.8,7.8,10.0,0.2,228.0,0.0,https://west2-univ.jp/menu_img/png_sp/814816.png
大学生協コーヒー,95.0,142.0,4.8,5.2,19.0,0.1,162.0,0.0,https://west2-univ.jp/menu_img/png_sp/814818.png
焼きプリンタルト,66.0,119.0,2.0,6.6,12.4,0.1,28.0,0.0,https://west2-univ.jp/menu_img/png_sp/814813.png
